ch	N	ticks/s
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	1	0.00555432126194179
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	1	0.00555432126194179
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	1	0.00555432126194179
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	1	0.00555432126194179
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	1	0.00555432126194179
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0	0
302	2	0.0111086425238836
303	0	0
304	1	0.00555432126194179
305	2	0.0111086425238836
306	9	0.0499888913574761
307	12	0.0666518551433015
308	27	0.149966674072428
309	36	0.199955565429904
310	95	0.52766051988447
311	96	0.533214841146412
312	139	0.772050655409909
313	180	0.999777827149522
314	225	1.2497222839369
315	291	1.61630748722506
316	336	1.86625194401244
317	347	1.9273494778938
318	350	1.94401244167963
319	406	2.25505443234837
320	407	2.26060875361031
321	406	2.25505443234837
322	414	2.2994890024439
323	380	2.11064207953788
324	440	2.44390135525439
325	367	2.03843590313264
326	408	2.26616307487225
327	400	2.22172850477672
328	411	2.28282603865808
329	422	2.34392357253944
330	371	2.0606531881804
331	396	2.19951121972895
332	371	2.0606531881804
333	395	2.19395689846701
334	412	2.28838035992002
335	411	2.28282603865808
336	368	2.04399022439458
337	398	2.21061986225283
338	407	2.26060875361031
339	412	2.28838035992002
340	422	2.34392357253944
341	424	2.35503221506332
342	446	2.47722728282604
343	451	2.50499888913575
344	444	2.46611864030216
345	469	2.6049766718507
346	508	2.82159520106643
347	575	3.19373472561653
348	547	3.03821373028216
349	587	3.26038658075983
350	585	3.24927793823595
351	582	3.23261497445012
352	628	3.48811375249944
353	533	2.96045323261497
354	590	3.27704954454566
355	585	3.24927793823595
356	612	3.39924461230838
357	582	3.23261497445012
358	525	2.91601866251944
359	532	2.95489891135303
360	498	2.76605198844701
361	505	2.8049322372806
362	472	2.62163963563653
363	507	2.81604087980449
364	483	2.68273716951789
365	532	2.95489891135303
366	498	2.76605198844701
367	489	2.71606309708954
368	464	2.57720506554099
369	508	2.82159520106643
370	485	2.69384581204177
371	499	2.77160630970895
372	517	2.87158409242391
373	497	2.76049766718507
374	496	2.75494334592313
375	451	2.50499888913575
376	479	2.66051988447012
377	497	2.76049766718507
378	508	2.82159520106643
379	450	2.49944456787381
380	496	2.75494334592313
381	451	2.50499888913575
382	523	2.90491001999556
383	483	2.68273716951789
384	501	2.78271495223284
385	499	2.77160630970895
386	483	2.68273716951789
387	504	2.79937791601866
388	468	2.59942235058876
389	513	2.84936680737614
390	446	2.47722728282604
391	522	2.89935569873361
392	498	2.76605198844701
393	485	2.69384581204177
394	487	2.70495445456565
395	474	2.63274827816041
396	521	2.89380137747167
397	435	2.41612974894468
398	458	2.54387913796934
399	505	2.8049322372806
400	480	2.66607420573206
401	498	2.76605198844701
402	520	2.88824705620973
403	502	2.78826927349478
404	509	2.82714952232837
405	484	2.68829149077983
406	520	2.88824705620973
407	549	3.04932237280604
408	500	2.7771606309709
409	474	2.63274827816041
410	462	2.56609642301711
411	530	2.94379026882915
412	474	2.63274827816041
413	497	2.76049766718507
414	510	2.83270384359031
415	514	2.85492112863808
416	497	2.76049766718507
417	509	2.82714952232837
418	499	2.77160630970895
419	492	2.73272606087536
420	489	2.71606309708954
421	501	2.78271495223284
422	519	2.88269273494779
423	518	2.87713841368585
424	488	2.71050877582759
425	502	2.78826927349478
426	490	2.72161741835148
427	489	2.71606309708954
428	456	2.53277049544546
429	510	2.83270384359031
430	484	2.68829149077983
431	491	2.72717173961342
432	493	2.7382803821373
