ch	N	ticks/s
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	1	0.00333333333333333
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	1	0.00333333333333333
98	0	0
99	0	0
100	1	0.00333333333333333
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	1	0.00333333333333333
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	1	0.00333333333333333
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	1	0.00333333333333333
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	1	0.00333333333333333
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	1	0.00333333333333333
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	1	0.00333333333333333
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	1	0.00333333333333333
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	1	0.00333333333333333
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	1	0.00333333333333333
224	0	0
225	0	0
226	1	0.00333333333333333
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	1	0.00333333333333333
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	1	0.00333333333333333
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	1	0.00333333333333333
275	0	0
276	0	0
277	1	0.00333333333333333
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	1	0.00333333333333333
284	0	0
285	0	0
286	0	0
287	0	0
288	2	0.00666666666666667
289	1	0.00333333333333333
290	4	0.0133333333333333
291	0	0
292	3	0.01
293	1	0.00333333333333333
294	2	0.00666666666666667
295	4	0.0133333333333333
296	7	0.0233333333333333
297	13	0.0433333333333333
298	41	0.136666666666667
299	53	0.176666666666667
300	99	0.33
301	146	0.486666666666667
302	238	0.793333333333333
303	360	1.2
304	501	1.67
305	610	2.03333333333333
306	699	2.33
307	786	2.62
308	804	2.68
309	865	2.88333333333333
310	865	2.88333333333333
311	960	3.2
312	925	3.08333333333333
313	867	2.89
314	899	2.99666666666667
315	927	3.09
316	966	3.22
317	935	3.11666666666667
318	971	3.23666666666667
319	995	3.31666666666667
320	969	3.23
321	991	3.30333333333333
322	961	3.20333333333333
323	954	3.18
324	972	3.24
325	1002	3.34
326	975	3.25
327	897	2.99
328	1065	3.55
329	978	3.26
330	1009	3.36333333333333
331	981	3.27
332	1031	3.43666666666667
333	1026	3.42
334	1002	3.34
335	999	3.33
336	1017	3.39
337	1028	3.42666666666667
338	1032	3.44
339	1011	3.37
340	983	3.27666666666667
341	1016	3.38666666666667
342	1051	3.50333333333333
343	1051	3.50333333333333
344	1075	3.58333333333333
345	1064	3.54666666666667
346	1049	3.49666666666667
347	1077	3.59
348	1074	3.58
349	1128	3.76
350	1204	4.01333333333333
351	1284	4.28
352	1390	4.63333333333333
353	1535	5.11666666666667
354	1771	5.90333333333333
355	1954	6.51333333333333
356	2198	7.32666666666667
357	2444	8.14666666666667
358	2662	8.87333333333333
359	2894	9.64666666666667
360	3236	10.7866666666667
361	3412	11.3733333333333
362	3626	12.0866666666667
363	3851	12.8366666666667
364	3973	13.2433333333333
365	4231	14.1033333333333
366	4339	14.4633333333333
367	4446	14.82
368	4342	14.4733333333333
369	4480	14.9333333333333
370	4465	14.8833333333333
371	4540	15.1333333333333
372	4641	15.47
373	4551	15.17
374	4444	14.8133333333333
375	4455	14.85
376	4454	14.8466666666667
377	4447	14.8233333333333
378	4285	14.2833333333333
379	4153	13.8433333333333
380	4073	13.5766666666667
381	4141	13.8033333333333
382	3948	13.16
383	3903	13.01
384	3811	12.7033333333333
385	3784	12.6133333333333
386	3699	12.33
387	3562	11.8733333333333
388	3505	11.6833333333333
389	3367	11.2233333333333
390	3179	10.5966666666667
391	3247	10.8233333333333
392	3023	10.0766666666667
393	3012	10.04
394	2953	9.84333333333333
395	2793	9.31
396	2718	9.06
397	2665	8.88333333333333
398	2623	8.74333333333333
399	2499	8.33
400	2439	8.13
401	2415	8.05
402	2278	7.59333333333333
403	2217	7.39
404	2048	6.82666666666667
405	2037	6.79
406	1938	6.46
407	1883	6.27666666666667
408	1830	6.1
409	1777	5.92333333333333
410	1695	5.65
411	1625	5.41666666666667
412	1564	5.21333333333333
413	1479	4.93
414	1493	4.97666666666667
415	1384	4.61333333333333
416	1384	4.61333333333333
417	1362	4.54
418	1298	4.32666666666667
419	1269	4.23
420	1238	4.12666666666667
421	1218	4.06
422	1252	4.17333333333333
423	1182	3.94
424	1152	3.84
425	1244	4.14666666666667
426	1160	3.86666666666667
427	1126	3.75333333333333
