angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
247.5	599996.62485	0	599988	2025-03-18_17:43:07	45734.7382754630	1075751	1604608	3564	4600	1	20	20	1037.18416879549	1266.73122642493	59.6992462263972	67.8232998312527	1792.95419241718	2674.40015466976	5.94011880237605	7.66682000306673	1.72970771187077	2.11314225421829	0.0995009307444749	0.113041382767947
225	599996.2035	0	599988	2025-03-18_17:53:23	45734.7454050926	1087157	1607651	3878	5076	1	20	20	1042.66821184881	1267.93178049925	62.2735899077611	71.2460525222275	1811.96457262479	2679.47192277179	6.46346260258538	8.46016920338407	1.73886443338001	2.11514857027413	0.103791615962274	0.118746130662362
202.5	599995.5484	0	599986	2025-03-18_18:03:40	45734.7525462963	1100609	1604264	4185	5478	1	20	20	1049.09913735547	1266.59543659371	64.6915759585435	74.0135122798533	1834.39113579317	2673.83572283353	6.97516275379759	9.13021303830423	1.74960822813283	2.11292238428391	0.107822059803565	0.123359107608863
180	599995.94735	0	599987	2025-03-18_18:13:55	45734.7596643519	1114197	1607783	4301	5612	1	20	20	1055.55530409354	1267.98383270450	65.5820097282784	74.9132832013122	1857.03523576344	2679.69639342186	7.16848865058743	9.35353599327986	1.76038567046738	2.11523908974072	0.10930597902863	0.124858566559007
157.5	599996.1781	0	599987	2025-03-18_18:24:12	45734.7668055556	1123611	1604867	4231	5396	1	20	20	1060.00518866655	1266.83345393149	65.0461374717977	73.4574706888278	1872.72557572081	2674.83628811958	7.05181945608822	8.99352819311085	1.76781612968671	2.11331662071724	0.108412832899385	0.12243213754167
135	599995.92305	0	599987	2025-03-18_18:34:28	45734.7739351852	1121448	1608382	3942	5076	1	20	20	1058.98441914884	1268.22001245841	62.7853486093691	71.2460525222275	1869.12049761078	2680.69474838622	6.57014235308432	8.46018330397159	1.76611162884201	2.11563378546719	0.104644744161274	0.118746328577984
112.5	599995.8736	0	599987	2025-03-18_18:44:44	45734.7810648148	1121072	1606264	3712	4808	1	20	20	1058.80687568602	1267.38470876052	60.9261848469113	69.3397432934389	1868.49381736604	2677.16467190122	6.18680071401547	8.01350695931745	1.76581516393127	2.11423785555052	0.101546050990369	0.115569051521744
90	599995.9748	0	599987	2025-03-18_18:55:00	45734.7881944444	1114042	1607824	3785	4910	1	20	20	1055.48188046977	1268	61.5223536610881	70.0713921654194	1856.77689683276	2679.76472823578	6.30847001685037	8.18351064273059	1.76026306798228	2.11526610797315	0.102539693417351	0.11678850260527
90	599996.4599	0	599988	2025-03-18_19:05:05	45734.7951967593	1116353	1607200	3694	4766	1	20	20	1056.57607392937	1267.75391933924	60.7782855960910	69.0362223763728	1860.62554584425	2678.72024107149	6.15678980246272	7.94349220317740	1.76208721077913	2.11485133545861	0.101299376540032	0.115062976552895
112.5	599996.12965	0	599987	2025-03-18_19:15:22	45734.8023379630	1119429	1605978	3840	4943	1	20	20	1058.03071789055	1267.27187296176	61.9677335393187	70.3064719638242	1865.75542470087	2676.68799490656	6.40013866967118	8.23851183442308	1.76451912541864	2.11404928874141	0.103282014014867	0.117180313975652
135	599996.93785	0	599988	2025-03-18_19:25:38	45734.8094675926	1122655	1608835	3987	5152	1	20	20	1059.55415151846	1268.39859665643	63.1426955395476	71.7774337797054	1871.12908924845	2681.44529557258	6.64513290265805	8.58683840343473	1.76706002947326	2.11592869676503	0.105240163813373	0.119631791353486
157.5	599997.21205	0	599987	2025-03-18_19:35:54	45734.8165972222	1123525	1604393	4221	5456	1	20	20	1059.96462205113	1266.64635948634	64.9692234831231	73.8647412504776	1872.58223928185	2674.04627100254	7.03515242830261	9.09353035982446	1.76774839064435	2.11300395651314	0.10828463923781	0.123110942657222
180	599996.26445	0	599988	2025-03-18_19:46:11	45734.8237384259	1116050	1608186	4297	5497	1	20	20	1056.43267651091	1268.14273644570	65.5515064662895	74.1417561162399	1860.12053574405	2680.36360727215	7.16180990286472	9.16184990366474	1.76184776589233	2.11550111212830	0.109254956696426	0.123572442358241
202.5	599995.99395	0	599987	2025-03-18_19:56:28	45734.8308796296	1101911	1607153	4239	5441	1	20	20	1049.71948633909	1267.73538248327	65.1076032426321	73.7631344236401	1836.55812542605	2678.64637067136	7.06515307831670	9.06852981814606	1.75064114270719	2.11482388844203	0.108515278793543	0.122941592738724
225	599996.3775	0	599987	2025-03-18_20:06:44	45734.8380092593	1088442	1606046	3806	4866	1	20	20	1043.28423739650	1267.29870196414	61.6927872607487	69.7567201063812	1814.10930570162	2676.80133069550	6.34347077520013	8.11017572047394	1.73989592714612	2.11409412432118	0.102823757368468	0.116264033537335
247.5	599995.5922	0	599987	2025-03-18_20:17:01	45734.8451504630	1076325	1605893	3795	4868	1	20	20	1037.46084263455	1267.23833591002	61.6035713250458	69.7710541700496	1793.91386813381	2676.54632517038	6.32513704463597	8.11350912603107	1.73017255789629	2.11399324293897	0.102675059978633	0.11628792435488
270	599996.43335	0	599988	2025-03-18_20:27:17	45734.8522800926	1070409	1606654	3605	4681	1	20	20	1034.60572200235	1267.53855957127	60.0416522091123	68.4178339323893	1784.05068101362	2677.81022287112	6.00845350240338	7.80182270312073	1.72540253218425	2.11449143469144	0.100071622205592	0.114032300418764
270	599995.77295	0	599987	2025-03-18_20:37:22	45734.8592824074	1068974	1605076	3781	4781	1	20	20	1033.91198851740	1266.91594038437	61.4898365585728	69.1447756522501	1781.66193600861	2675.18462900030	6.30180320573612	7.96850598429633	1.72424710335748	2.11345446861397	0.102485496730516	0.115244095815696
247.5	599995.9701	0	599987	2025-03-18_20:47:39	45734.8664236111	1078919	1607612	3742	4761	1	20	20	1038.71025796417	1267.91640102966	61.1718889687085	69	1798.23729514139	2679.41138724672	6.23680179737228	7.93517192872512	1.73225870026834	2.11512640024704	0.101955569276747	0.115002795915024
225	599995.95595	0	599988	2025-03-18_20:57:56	45734.8735648148	1087682	1603740	3896	5016	1	20	20	1042.91993940091	1266.38856596228	62.4179461373089	70.8237248385031	1812.83959012514	2672.95345906918	6.49346320259738	8.36016720334407	1.73928474772505	2.11256961615771	0.104032216048894	0.118042231191684
202.5	599995.7107	0	599988	2025-03-18_21:08:12	45734.8806944444	1100668	1605218	4221	5372	1	20	20	1049.12725634215	1266.97198074780	64.9692234831231	73.2939288072348	1834.48335633379	2675.41684167017	7.03514070281406	8.95351240358140	1.74964934071055	2.11354459202105	0.108284458758955	0.122159355782644
