angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
90	299995.9072	0	299991	2025-03-18_14:47:53	45734.6165856481	557722	802472	51	68	1	20	20	746.807873552495	895.808015146103	7.14142842854285	8.24621125123532	1859.12910720655	2674.98691627416	0.170005100153005	0.226673466870673	2.49251789739972	2.99143693496529	0.0238054782908596	0.0274881996373363
112.5	299996.17275	0	299991	2025-03-18_14:53:10	45734.6202546296	559912	801829	45	69	1	20	20	748.272677571485	895.449049360152	6.70820393249937	8.30662386291807	1866.42932621312	2672.84351863889	0.150004500135004	0.230006900207006	2.49741889694337	2.99023395658640	0.0223613528517855	0.0276895811430234
135	299995.8954	0	299991	2025-03-18_14:58:26	45734.6239120370	560107	802177	44	75	1	20	20	748.402966322288	895.643344194552	6.63324958071080	8.66025403784439	1867.07934571370	2674.00355343994	0.146671066798671	0.250007500225007	2.49785482567439	2.99088508342391	0.0221114974427036	0.0288683843225515
157.5	299996.49475	0	299991	2025-03-18_15:03:42	45734.6275694444	562353	802118	64	86	1	20	20	749.901993596497	895.610406370984	8	9.2736184954957	1874.56623698711	2673.80688087309	0.213339733525339	0.286675266924674	2.50287041096799	2.99077470106891	0.0266674704836011	0.0309129949494932
180	299996.4258	0	299992	2025-03-18_15:08:58	45734.6312268519	557363	802702	55	74	1	20	20	746.567478530910	895.936381670038	7.41619848709566	8.60232526704263	1857.92621136564	2675.74468652497	0.183338222352596	0.246673244619857	2.49170525451004	2.99185711386620	0.0247213238805309	0.0286751869440604
202.5	299996.04045	0	299991	2025-03-18_15:14:14	45734.6348842593	550174	802187	52	80	1	20	20	741.737150208886	895.648926756461	7.21110255092798	8.94427190999916	1833.96835238390	2674.03688777330	0.173338533489338	0.266674666906674	2.47555261758469	2.99090379189959	0.024037732412842	0.0298151394548077
225	299995.645	0	299992	2025-03-18_15:19:30	45734.6385416667	542331	801629	45	64	1	20	20	736.431259521213	895.337366583122	6.70820393249937	8	1807.81820848556	2672.16792447799	0.15000400010667	0.21333902237393	2.45779322399297	2.98984968065077	0.02236127831194	0.026667381589637
247.5	299996.4684	0	299991	2025-03-18_15:24:46	45734.6421990741	539836	803515	66	85	1	20	20	734.735326495195	896.389982094847	8.12403840463596	9.21954445729289	1799.50731855289	2678.46368724395	0.220006600198006	0.283341833588341	2.45212778345293	2.99338725331337	0.0270809444157758	0.0307327426451684
270	299995.9151	0	299991	2025-03-18_15:30:02	45734.6458564815	534356	804081	61	83	1	20	20	730.996580019360	896.705637319182	7.81024967590665	9.11043357914430	1781.24010386978	2680.35041051232	0.203339433516339	0.276674966915674	2.43962033812388	2.99444509938504	0.0260349501641477	0.0303690286029042
